country_or_region_code,country_or_region,year,indicator,value_percent,source,source_url,note
1700,Republic of Uzbekistan,2020,Share of foreign investments and loans in investments in fixed assets,42.7,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1700,Republic of Uzbekistan,2021,Share of foreign investments and loans in investments in fixed assets,42.3,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1700,Republic of Uzbekistan,2022,Share of foreign investments and loans in investments in fixed assets,42.8,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1700,Republic of Uzbekistan,2023,Share of foreign investments and loans in investments in fixed assets,56.7,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1703,Andijan region,2010,Share of foreign investments and loans in investments in fixed assets,8.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1703,Andijan region,2011,Share of foreign investments and loans in investments in fixed assets,6.3,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1703,Andijan region,2012,Share of foreign investments and loans in investments in fixed assets,7.5,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1703,Andijan region,2013,Share of foreign investments and loans in investments in fixed assets,5.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1703,Andijan region,2014,Share of foreign investments and loans in investments in fixed assets,6.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1703,Andijan region,2015,Share of foreign investments and loans in investments in fixed assets,4.4,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1703,Andijan region,2016,Share of foreign investments and loans in investments in fixed assets,4.9,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1703,Andijan region,2017,Share of foreign investments and loans in investments in fixed assets,7.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1703,Andijan region,2018,Share of foreign investments and loans in investments in fixed assets,14.8,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1703,Andijan region,2019,Share of foreign investments and loans in investments in fixed assets,39.6,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1703,Andijan region,2020,Share of foreign investments and loans in investments in fixed assets,36.3,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1703,Andijan region,2021,Share of foreign investments and loans in investments in fixed assets,45.6,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1703,Andijan region,2022,Share of foreign investments and loans in investments in fixed assets,48.4,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1703,Andijan region,2023,Share of foreign investments and loans in investments in fixed assets,63.9,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1706,Bukhara region,2010,Share of foreign investments and loans in investments in fixed assets,63.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1706,Bukhara region,2011,Share of foreign investments and loans in investments in fixed assets,58.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1706,Bukhara region,2012,Share of foreign investments and loans in investments in fixed assets,50.4,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1706,Bukhara region,2013,Share of foreign investments and loans in investments in fixed assets,50.6,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1706,Bukhara region,2014,Share of foreign investments and loans in investments in fixed assets,45.1,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1706,Bukhara region,2015,Share of foreign investments and loans in investments in fixed assets,35.9,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1706,Bukhara region,2016,Share of foreign investments and loans in investments in fixed assets,52.4,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1706,Bukhara region,2017,Share of foreign investments and loans in investments in fixed assets,71.0,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1706,Bukhara region,2018,Share of foreign investments and loans in investments in fixed assets,44.0,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1706,Bukhara region,2019,Share of foreign investments and loans in investments in fixed assets,53.9,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1706,Bukhara region,2020,Share of foreign investments and loans in investments in fixed assets,48.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1706,Bukhara region,2021,Share of foreign investments and loans in investments in fixed assets,58.5,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1706,Bukhara region,2022,Share of foreign investments and loans in investments in fixed assets,58.4,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1706,Bukhara region,2023,Share of foreign investments and loans in investments in fixed assets,72.1,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1708,Jizzakh region,2010,Share of foreign investments and loans in investments in fixed assets,7.6,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1708,Jizzakh region,2011,Share of foreign investments and loans in investments in fixed assets,6.3,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1708,Jizzakh region,2012,Share of foreign investments and loans in investments in fixed assets,3.1,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1708,Jizzakh region,2013,Share of foreign investments and loans in investments in fixed assets,2.8,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1708,Jizzakh region,2014,Share of foreign investments and loans in investments in fixed assets,5.9,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1708,Jizzakh region,2015,Share of foreign investments and loans in investments in fixed assets,2.9,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1708,Jizzakh region,2016,Share of foreign investments and loans in investments in fixed assets,7.3,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1708,Jizzakh region,2017,Share of foreign investments and loans in investments in fixed assets,10.8,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1708,Jizzakh region,2018,Share of foreign investments and loans in investments in fixed assets,8.7,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1708,Jizzakh region,2019,Share of foreign investments and loans in investments in fixed assets,48.8,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1708,Jizzakh region,2020,Share of foreign investments and loans in investments in fixed assets,61.9,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1708,Jizzakh region,2021,Share of foreign investments and loans in investments in fixed assets,44.5,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1708,Jizzakh region,2022,Share of foreign investments and loans in investments in fixed assets,47.3,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1708,Jizzakh region,2023,Share of foreign investments and loans in investments in fixed assets,70.7,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1710,Kashkadarya region,2010,Share of foreign investments and loans in investments in fixed assets,26.5,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1710,Kashkadarya region,2011,Share of foreign investments and loans in investments in fixed assets,19.3,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1710,Kashkadarya region,2012,Share of foreign investments and loans in investments in fixed assets,23.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1710,Kashkadarya region,2013,Share of foreign investments and loans in investments in fixed assets,22.8,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1710,Kashkadarya region,2014,Share of foreign investments and loans in investments in fixed assets,19.5,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1710,Kashkadarya region,2015,Share of foreign investments and loans in investments in fixed assets,17.6,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1710,Kashkadarya region,2016,Share of foreign investments and loans in investments in fixed assets,27.5,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1710,Kashkadarya region,2017,Share of foreign investments and loans in investments in fixed assets,18.0,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1710,Kashkadarya region,2018,Share of foreign investments and loans in investments in fixed assets,51.1,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1710,Kashkadarya region,2019,Share of foreign investments and loans in investments in fixed assets,70.3,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1710,Kashkadarya region,2020,Share of foreign investments and loans in investments in fixed assets,69.3,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1710,Kashkadarya region,2021,Share of foreign investments and loans in investments in fixed assets,53.6,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1710,Kashkadarya region,2022,Share of foreign investments and loans in investments in fixed assets,47.0,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1710,Kashkadarya region,2023,Share of foreign investments and loans in investments in fixed assets,58.0,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1712,Navoi region,2010,Share of foreign investments and loans in investments in fixed assets,25.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1712,Navoi region,2011,Share of foreign investments and loans in investments in fixed assets,9.5,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1712,Navoi region,2012,Share of foreign investments and loans in investments in fixed assets,24.0,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1712,Navoi region,2013,Share of foreign investments and loans in investments in fixed assets,22.7,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1712,Navoi region,2014,Share of foreign investments and loans in investments in fixed assets,10.3,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1712,Navoi region,2015,Share of foreign investments and loans in investments in fixed assets,3.0,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1712,Navoi region,2016,Share of foreign investments and loans in investments in fixed assets,5.1,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1712,Navoi region,2017,Share of foreign investments and loans in investments in fixed assets,24.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1712,Navoi region,2018,Share of foreign investments and loans in investments in fixed assets,34.0,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1712,Navoi region,2019,Share of foreign investments and loans in investments in fixed assets,39.9,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1712,Navoi region,2020,Share of foreign investments and loans in investments in fixed assets,67.8,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1712,Navoi region,2021,Share of foreign investments and loans in investments in fixed assets,61.3,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1712,Navoi region,2022,Share of foreign investments and loans in investments in fixed assets,54.4,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1712,Navoi region,2023,Share of foreign investments and loans in investments in fixed assets,66.7,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1714,Namangan region,2010,Share of foreign investments and loans in investments in fixed assets,4.7,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1714,Namangan region,2011,Share of foreign investments and loans in investments in fixed assets,4.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1714,Namangan region,2012,Share of foreign investments and loans in investments in fixed assets,3.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1714,Namangan region,2013,Share of foreign investments and loans in investments in fixed assets,6.8,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1714,Namangan region,2014,Share of foreign investments and loans in investments in fixed assets,16.4,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1714,Namangan region,2015,Share of foreign investments and loans in investments in fixed assets,21.9,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1714,Namangan region,2016,Share of foreign investments and loans in investments in fixed assets,22.6,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1714,Namangan region,2017,Share of foreign investments and loans in investments in fixed assets,31.6,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1714,Namangan region,2018,Share of foreign investments and loans in investments in fixed assets,33.5,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1714,Namangan region,2019,Share of foreign investments and loans in investments in fixed assets,45.8,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1714,Namangan region,2020,Share of foreign investments and loans in investments in fixed assets,37.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1714,Namangan region,2021,Share of foreign investments and loans in investments in fixed assets,29.8,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1714,Namangan region,2022,Share of foreign investments and loans in investments in fixed assets,34.7,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1714,Namangan region,2023,Share of foreign investments and loans in investments in fixed assets,55.7,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1718,Samarkand region,2010,Share of foreign investments and loans in investments in fixed assets,3.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1718,Samarkand region,2011,Share of foreign investments and loans in investments in fixed assets,4.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1718,Samarkand region,2012,Share of foreign investments and loans in investments in fixed assets,3.6,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1718,Samarkand region,2013,Share of foreign investments and loans in investments in fixed assets,4.0,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1718,Samarkand region,2014,Share of foreign investments and loans in investments in fixed assets,3.4,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1718,Samarkand region,2015,Share of foreign investments and loans in investments in fixed assets,4.0,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1718,Samarkand region,2016,Share of foreign investments and loans in investments in fixed assets,2.2,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1718,Samarkand region,2017,Share of foreign investments and loans in investments in fixed assets,2.8,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1718,Samarkand region,2018,Share of foreign investments and loans in investments in fixed assets,4.7,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1718,Samarkand region,2019,Share of foreign investments and loans in investments in fixed assets,27.8,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1718,Samarkand region,2020,Share of foreign investments and loans in investments in fixed assets,27.0,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
1718,Samarkand region,2021,Share of foreign investments and loans in investments in fixed assets,34.9,National Statistics Committee of Uzbekistan / SIAT,https://api.siat.stat.uz/media/uploads/sdmx/sdmx_data_1336.json,"Official SIAT table available via API; this is by territory, not the requested sector breakdown."
